cell_name,donor_short_id,donor_long_id,study_accession,sample_accession,ENA_Accession
25476_6#183,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661972,ERR2981987
25476_6#184,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104661973,ERR2981988
25476_6#186,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661975,ERR2981990
25476_6#187,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104661976,ERR2981991
25476_6#188,qihv_1,HPSI0514i-qihv_1,PRJEB14362,SAMEA104661977,ERR2981992
25476_6#189,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661978,ERR2981993
25476_6#190,qihv_1,HPSI0514i-qihv_1,PRJEB14362,SAMEA104661979,ERR2981994
25476_6#191,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661980,ERR2981995
25476_6#192,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661981,ERR2981996
25476_6#195,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661984,ERR2981999
25476_6#196,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104661985,ERR2982000
25476_6#197,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104661986,ERR2982001
25476_6#198,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661987,ERR2982002
25476_6#199,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661988,ERR2982003
25476_6#200,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104661989,ERR2982004
25476_6#201,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104661990,ERR2982005
25476_6#202,bima_1,HPSI1113i-bima_1,PRJEB14362,SAMEA104661991,ERR2982006
25476_6#203,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661992,ERR2982007
25476_6#204,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661993,ERR2982008
25476_6#205,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661994,ERR2982009
25476_6#206,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661995,ERR2982010
25476_6#207,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661996,ERR2982011
25476_6#208,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661997,ERR2982012
25476_6#209,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661998,ERR2982013
25476_6#210,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661999,ERR2982014
25476_6#211,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104662000,ERR2982015
25476_6#212,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104662001,ERR2982016
25476_6#213,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104662002,ERR2982017
25476_6#214,bima_1,HPSI1113i-bima_1,PRJEB14362,SAMEA104662003,ERR2982018
25476_6#215,bima_1,HPSI1113i-bima_1,PRJEB14362,SAMEA104662004,ERR2982019
25476_6#216,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104662005,ERR2982020
25476_6#218,qihv_1,HPSI0514i-qihv_1,PRJEB14362,SAMEA104662007,ERR2982022
25476_6#219,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104662008,ERR2982023
25476_6#221,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104662010,ERR2982025
25476_6#222,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104662011,ERR2982026
25476_6#223,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104662012,ERR2982027
25476_6#224,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104662013,ERR2982028
25476_6#225,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104662014,ERR2982029
25476_6#226,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104662015,ERR2982030
